region,date,dis,id,catg,target
301,13/3/1986,62,10,11,0
105,11/7/1996,69,100,11,0
303,14/10/2014,62,1000,11,0
101,25/10/2011,60,100003,11,0
311,30/6/2006,63,100004,12,0
101,28/5/2009,60,100007,11,0
104,22/10/2002,69,100008,11,0
104,25/5/1999,69,100010,11,0
101,25/4/2006,60,100012,11,0
311,30/11/1999,63,100015,11,0
104,17/11/2011,69,100017,11,0
104,13/7/2017,69,100021,51,0
311,17/10/2014,63,100026,11,0
301,30/12/1981,62,100029,11,0
101,22/12/1997,60,10003,11,0
301,17/10/1983,62,100031,11,0
308,7/11/2012,63,100032,11,1
104,9/7/2015,69,100035,11,0
307,16/9/2009,62,100037,11,1
313,3/3/2010,63,100040,11,0
303,22/6/2016,62,100041,11,0
101,16/4/1979,60,100042,11,0
101,23/2/2004,60,100047,11,0
101,26/10/2010,63,100048,11,0
303,12/3/2003,62,100051,11,0
303,19/2/2007,62,100053,11,0
104,20/12/2012,69,100055,11,0
310,31/12/1996,62,100056,11,0
304,14/10/2014,62,100059,11,0
104,8/4/2002,69,10006,11,0
312,11/5/2000,63,100061,11,0
101,29/8/2016,60,100063,11,0
104,13/5/2011,69,100064,11,0
101,28/11/2011,60,100066,11,0
301,26/12/2014,62,100068,11,0
309,29/11/2004,62,100069,11,0
310,6/12/1993,62,100070,11,0
101,13/9/2007,60,100075,11,0
101,16/5/2012,60,100079,11,0
101,5/3/1977,60,100081,11,0
312,4/2/2016,63,100085,11,0
304,28/10/1996,62,100088,11,0
307,10/9/2012,62,100089,11,0
101,28/12/2016,60,10009,11,0
313,10/8/2011,63,100098,11,0
309,6/11/2009,62,1001,11,0
311,31/12/2003,63,10010,11,0
301,30/8/2013,62,100103,11,0
305,22/4/1992,62,100107,11,0
312,27/12/1990,63,100109,11,1
101,19/3/1987,60,10011,11,0
301,12/10/2001,62,100113,12,0
101,27/12/1990,63,100115,11,0
310,27/8/2010,62,100116,11,0
105,17/11/2012,69,100117,11,0
107,17/1/2008,69,100123,11,0
309,30/3/2015,62,100124,11,0
301,5/11/2014,62,100126,11,0
307,20/5/2011,62,100130,11,0
104,5/12/2007,69,100133,12,0
103,12/9/2012,69,100134,11,0
101,23/7/2012,60,100135,11,0
313,4/2/2013,63,100137,11,0
306,9/9/2017,63,100140,11,0
306,26/11/2013,63,100141,11,0
107,15/5/2013,69,100142,11,0
101,14/8/2010,60,100146,11,0
104,5/1/2008,69,100147,11,0
104,28/8/2010,69,100148,11,0
107,11/3/2014,69,100150,11,0
101,5/9/2006,60,100152,11,0
101,27/2/1989,60,100153,11,0
101,12/3/2015,60,100154,11,0
101,11/7/2011,60,100157,11,0
107,5/9/2011,69,10016,11,0
311,8/3/2014,63,100161,11,0
312,19/1/2018,63,100172,11,0
301,25/2/1983,62,100178,11,0
104,1/9/2016,69,100179,11,0
303,10/4/1998,62,100181,11,0
303,23/3/2000,62,100184,11,0
306,6/9/1988,63,100188,11,0
104,10/7/2008,69,100189,11,0
105,22/2/2001,69,100190,11,0
307,18/6/2016,62,100198,11,0
104,10/3/2013,69,1002,11,0
107,11/8/1986,69,100201,11,0
371,25/4/2017,62,100204,11,0
306,2/6/2010,63,100205,51,0
101,30/11/2015,60,100206,11,0
306,11/5/2017,63,100207,11,0
310,28/6/2007,62,100208,11,0
104,7/10/2016,69,100212,11,0
312,1/2/2011,63,100219,11,0
107,3/12/2014,69,100223,11,0
305,29/10/2012,62,100228,11,0
311,12/6/2010,63,100229,11,0
311,24/10/2016,63,100231,11,0
101,3/10/2013,60,100234,11,0
302,17/5/2011,62,100235,11,1
301,28/3/2012,62,100236,51,1
306,12/12/2012,63,100238,11,0
372,31/8/2015,63,10025,11,0
107,17/9/2011,69,100253,11,0
306,16/5/2002,63,100254,11,0
311,11/1/2017,63,100256,11,0
101,1/10/2007,60,100257,11,0
303,14/2/2013,62,100260,11,0
303,30/8/2017,62,100265,11,0
301,30/5/2014,62,100268,11,0
104,30/9/2015,69,100274,11,0
310,11/1/2018,62,100275,11,0
104,18/10/1995,69,100277,11,1
379,12/6/1991,63,100279,11,0
301,8/3/2012,62,10028,11,0
303,17/9/2008,62,100281,11,0
104,11/12/2015,69,100283,11,0
302,1/6/2011,62,100287,11,0
103,29/1/2014,69,100288,11,0
310,16/10/1997,62,100291,11,0
303,30/12/1998,62,100293,11,0
301,5/11/2010,62,100294,11,0
306,4/9/2014,63,100296,11,0
311,9/3/2016,63,100297,11,0
107,26/1/2017,69,100299,11,0
101,22/12/2015,63,1003,11,0
310,22/9/1998,62,10030,11,1
303,15/4/1988,62,100305,11,0
101,26/12/1981,60,100307,11,0
101,9/1/2010,63,100311,11,0
310,28/6/1988,62,10032,11,0
104,20/8/1986,69,100322,11,1
107,26/11/2012,69,100325,11,0
311,6/5/2013,63,100327,11,0
107,15/11/2011,69,100329,11,0
306,7/1/2016,63,10033,11,0
104,3/7/2014,69,100330,11,0
313,13/5/2014,63,100336,11,0
310,20/8/2009,62,100337,11,0
301,17/4/1985,62,100339,11,0
372,8/10/2010,63,100340,11,0
305,14/6/2010,62,100341,11,0
302,4/8/2016,62,100344,11,0
107,13/9/2000,69,100348,11,0
101,31/12/2011,60,100349,11,0
107,29/5/2012,69,100352,12,0
301,10/6/1983,62,100356,11,0
101,19/2/2013,60,100357,11,0
101,14/8/2010,60,100358,11,0
101,12/5/2010,60,100359,11,0
309,10/6/2005,62,10036,11,0
379,10/6/2017,63,100361,11,0
101,20/12/1991,60,100367,11,0
306,18/10/1983,63,100369,11,0
306,16/6/2017,63,100371,11,0
311,12/5/2014,63,100378,11,0
313,11/9/2009,63,100379,11,0
101,5/3/1977,60,10038,11,0
101,20/9/1994,60,100382,11,1
306,21/4/2014,63,100385,11,0
307,30/9/2014,62,100389,11,0
305,15/7/1982,62,10039,11,1
304,9/10/2000,62,100390,11,0
399,14/12/1988,63,100394,11,0
311,12/2/2016,63,100398,11,0
311,10/11/2014,63,10040,11,0
301,8/6/2015,62,100404,11,0
104,20/12/1994,69,100406,11,0
107,10/8/2014,69,100411,11,0
103,29/11/2011,69,100413,11,1
101,14/10/1980,60,100414,11,0
306,2/12/2010,63,100415,11,0
101,19/4/2007,60,100416,11,0
307,16/7/2015,62,100417,11,0
313,9/10/2015,63,100419,11,0
101,30/12/1998,60,100421,11,0
101,22/10/1977,60,100422,11,0
310,24/9/1999,62,100424,11,0
309,7/12/2012,62,100426,11,0
301,2/4/2014,62,100427,11,0
101,16/7/2009,60,100428,11,0
105,15/5/2013,69,100430,11,0
304,23/11/2009,62,100436,11,1
105,10/4/1995,69,100437,11,0
104,6/10/2004,69,100440,11,0
105,27/6/1997,69,100443,11,0
311,23/11/2013,63,100449,11,0
311,19/10/2015,63,10045,11,0
303,28/6/2007,62,100450,11,0
104,30/5/2002,69,100453,11,1
101,13/4/2011,60,100455,11,0
104,2/8/2013,69,100457,11,0
303,17/12/2013,62,100460,11,0
101,3/6/2010,60,100463,11,0
104,16/12/1991,69,100464,11,0
101,12/4/2016,63,100467,11,0
107,20/5/2005,69,100472,11,0
312,18/1/2017,63,100475,11,0
311,17/10/2017,63,100476,11,0
307,1/1/1998,62,100477,11,0
101,22/12/2008,60,100484,11,0
306,31/12/2004,63,100485,11,0
303,29/5/2013,62,100489,11,0
303,8/3/2012,62,100490,11,0
306,28/9/2007,63,100491,11,0
301,25/4/2014,62,100497,11,0
301,26/7/1979,62,100499,11,0
101,28/12/2012,60,1005,11,0
103,11/12/2014,69,100500,11,0
104,17/12/1987,69,100502,11,0
101,23/4/2012,60,100503,11,0
313,23/11/2013,63,100504,11,0
101,27/5/2013,60,100505,11,0
103,22/12/2013,69,100509,11,0
309,3/6/2016,62,100510,11,0
311,8/4/2015,63,100511,11,0
107,9/12/2005,69,100512,11,0
301,9/10/2007,62,100513,11,0
103,27/1/2017,69,100517,11,0
312,22/12/2016,63,100518,11,0
104,18/6/2013,69,100519,11,0
101,11/10/1996,60,100520,11,0
301,13/5/2008,62,100521,11,0
103,4/4/1978,69,100522,11,0
104,23/2/2001,69,100523,11,0
101,19/3/1985,60,100524,11,0
311,4/7/2011,63,100526,11,0
311,13/10/2016,63,100527,11,0
104,19/12/2012,69,100528,11,0
310,4/7/2006,62,100530,51,1
101,9/1/1991,60,100532,11,0
101,20/8/2010,60,100533,11,0
